site,treatment,diversity
Samil,control,0.7033732264703677
Samil,10,1.3273081493178245
Samil,20,1.089225079262719
America_1,control,1.9045472788780295
America_1,10,1.7574010873643306
America_1,20,1.6790278259158053
America_2,control,1.2485104546611778
America_2,10,0.7911663717893567
America_2,20,0.7361412859203514
Barra,control,1.178254503593786
Barra,10,1.0758190264698297
Barra,20,1.1166525977195092
Nerga,control,1.6217390145030723
Nerga,10,1.4377199095900304
Nerga,20,1.5024463656253426
Lanzada,control,1.595097286898183
Lanzada,10,0.9971396584714477
Lanzada,20,1.0061969330635845
Corrubedo,control,0.9553118917697104
Corrubedo,10,0.9477152258714573
Corrubedo,20,0.8427499012981863
Carnota,control,0.7481526545442662
Carnota,10,1.0078659576503846
Carnota,20,0.9723247763628307
